date,value
2015-11-10,1
2015-11-12,1
2015-11-14,1
2015-11-15,1
2015-11-16,1
2015-11-19,1
2015-11-21,1
2015-11-26,1
2015-12-01,1
2015-12-06,1
2015-12-09,1
2015-12-11,1
2015-12-17,1
2015-12-19,1
2015-12-21,1
2015-12-24,1
2015-12-31,1
2016-01-02,1
2016-01-07,1
2016-01-15,1
2016-01-19,1
2016-01-23,1
2016-02-05,1
2016-02-06,1
2016-02-07,1
2016-02-08,1
2016-02-11,1
2016-02-15,1
2016-02-20,1
2016-02-23,1
2016-02-27,1
2016-03-08,1
2016-03-09,1
2016-03-15,1
2016-03-20,1
2016-03-24,1
2016-03-26,1
2016-04-12,1
2016-04-24,1
2016-04-30,1
2016-05-02,1
2016-05-07,1
2016-05-19,1
2016-05-24,1
2016-06-04,1
2016-06-05,1
2016-06-06,1
2016-06-07,1
2016-06-10,1
2016-06-24,1
2016-06-26,1
2016-07-06,1
2016-07-14,1
2016-07-25,1
2016-08-15,1
2016-08-16,1
2016-08-17,1
2016-08-20,1
2016-09-18,1
2016-10-23,1
2016-11-12,1
2016-12-04,1
2016-12-17,1
2016-12-20,1
2016-12-28,1
2017-02-17,1
2017-03-10,1
2017-04-14,1
2017-04-29,1
2017-05-01,1
2017-05-03,1
2017-05-24,1
2017-08-08,1
2017-08-16,1
2017-08-29,1
2017-09-03,1
2017-09-18,1
2017-09-19,1
2017-09-22,1
2017-09-23,1
2017-09-24,1
2017-09-26,1
2017-09-29,1
2017-10-22,1
2017-10-24,1
2017-10-25,1
2017-11-22,1
2017-12-07,1
2017-12-09,1
2017-12-23,1
2015-11-04,2
2015-11-07,2
2015-11-09,2
2015-11-20,2
2015-11-23,2
2015-11-25,2
2015-12-29,2
2016-01-18,2
2016-02-02,2
2016-05-01,2
2016-05-17,2
2015-11-06,3
2015-11-18,3
2015-12-10,3
2016-04-26,4
2015-11-08,5
2017-09-14,6
2017-09-20,7
