date,value
11-May-15,"5,972"
12-May-15,"20,673"
13-May-15,"22,304"
14-May-15,"22,887"
16-May-15,"23,255"
15-May-15,"23,419"
18-May-15,"23,797"
17-May-15,"23,809"
19-May-15,"24,344"
23-May-15,"24,497"
26-May-15,"24,516"
24-May-15,"24,519"
20-May-15,"24,560"
22-May-15,"24,567"
21-May-15,"24,639"
29-May-15,"24,713"
30-May-15,"25,037"
25-May-15,"25,085"
1-Jun-15,"25,100"
27-May-15,"25,106"
7-Jun-15,"25,119"
2-Jun-15,"25,165"
28-May-15,"25,194"
8-Jun-15,"25,220"
6-Jun-15,"25,251"
10-Jun-15,"25,262"
31-May-15,"25,266"
13-Jun-15,"25,330"
4-Jun-15,"25,379"
26-Jun-15,"25,421"
5-Jun-15,"25,521"
24-Jun-15,"25,539"
5-Jul-15,"25,548"
15-Jun-15,"25,600"
23-Jun-15,"25,630"
11-Jun-15,"25,633"
26-Jul-15,"25,635"
30-Dec-17,"25,669"
22-Jul-15,"25,679"
21-Jun-15,"25,686"
9-Jul-15,"25,704"
3-Jun-15,"25,728"
20-Aug-15,"25,737"
27-Jun-15,"25,744"
13-Sep-15,"25,744"
30-Jul-15,"25,760"
25-Jun-15,"25,766"
9-Aug-15,"25,766"
19-Jun-15,"25,770"
22-Jun-15,"25,786"
15-Jul-15,"25,794"
9-Jun-15,"25,800"
6-Jul-15,"25,818"
1-Oct-15,"25,824"
19-Sep-15,"25,832"
2-Jul-15,"25,848"
30-Jun-15,"25,852"
26-Sep-15,"25,852"
25-Jul-15,"25,869"
18-Jun-15,"25,876"
12-Jun-15,"25,888"
17-Jul-15,"25,888"
17-Jun-15,"25,891"
3-Aug-15,"25,892"
21-Jul-15,"25,915"
23-Jul-15,"25,918"
5-Aug-15,"25,920"
28-Jun-15,"25,938"
20-Jul-15,"25,960"
22-Aug-15,"25,965"
1-Aug-15,"25,973"
16-Jun-15,"25,977"
8-Jul-15,"25,984"
12-Aug-15,"26,015"
2-Sep-15,"26,042"
